age_cov,cov_all,fast_fraction,fulldate,grid_cell,min_season_cov
0.65,1.0,0.6,2012-08-11,102,0.5
0.65,0.8,0.6,2012-09-15,102,0.5
0.65,0.25,0.6,2009-06-02,103,0.5
0.65,0.32,0.6,2010-06-02,103,0.5
0.65,0.5217391304347829,0.6,2012-08-07,103,0.5
0.65,0.25,0.6,2009-06-02,104,0.5
0.65,0.32,0.6,2010-06-02,104,0.5
0.65,0.818181818181818,0.6,2012-07-26,104,0.5
0.65,0.8888888888888891,0.6,2012-08-15,104,0.5
0.65,0.25,0.6,2009-06-02,105,0.5
0.65,0.32,0.6,2010-06-02,105,0.5
0.65,0.5,0.6,2012-09-15,105,0.5
0.65,0.25,0.6,2009-06-02,106,0.5
0.65,0.32,0.6,2010-06-02,106,0.5
0.65,0.375,0.6,2011-06-02,106,0.5
0.65,0.3,0.6,2012-06-02,106,0.5
0.65,0.666666666666667,0.6,2014-10-08,106,0.5
0.65,0.666666666666667,0.6,2017-10-08,106,0.5
0.65,0.25,0.6,2009-06-02,107,0.5
0.65,0.32,0.6,2010-06-02,107,0.5
0.65,0.375,0.6,2011-06-02,107,0.5
0.65,0.3,0.6,2012-06-02,107,0.5
0.65,0.25,0.6,2009-06-02,108,0.5
0.65,0.32,0.6,2010-06-02,108,0.5
0.65,0.375,0.6,2011-06-02,108,0.5
0.65,0.3,0.6,2012-06-02,108,0.5
0.65,0.25,0.6,2009-06-02,109,0.5
0.65,0.32,0.6,2010-06-02,109,0.5
0.65,0.375,0.6,2011-06-02,109,0.5
0.65,0.3,0.6,2012-06-02,109,0.5
0.65,0.666666666666667,0.6,2014-12-14,109,0.5
0.65,0.666666666666667,0.6,2017-12-14,109,0.5
0.65,0.25,0.6,2009-06-02,110,0.5
0.65,0.32,0.6,2010-06-02,110,0.5
0.65,0.25,0.6,2009-06-02,111,0.5
0.65,0.32,0.6,2010-06-02,111,0.5
0.65,0.666666666666667,0.6,2012-08-15,111,0.5
0.65,0.25,0.6,2009-06-02,112,0.5
0.65,0.32,0.6,2010-06-02,112,0.5
0.65,0.75,0.6,2012-09-15,112,0.5
0.65,0.833333333333333,0.6,2012-10-17,112,0.5
0.65,0.25,0.6,2009-06-02,113,0.5
0.65,0.32,0.6,2010-06-02,113,0.5
0.65,0.375,0.6,2011-06-02,113,0.5
0.65,0.3,0.6,2012-06-02,113,0.5
0.65,0.25,0.6,2009-06-02,114,0.5
0.65,0.32,0.6,2010-06-02,114,0.5
0.65,0.375,0.6,2011-06-02,114,0.5
0.65,0.3,0.6,2012-06-02,114,0.5
0.65,0.25,0.6,2009-06-02,115,0.5
0.65,0.32,0.6,2010-06-02,115,0.5
0.65,0.375,0.6,2011-06-02,115,0.5
0.65,0.3,0.6,2012-06-02,115,0.5
0.65,0.25,0.6,2009-06-02,116,0.5
0.65,0.32,0.6,2010-06-02,116,0.5
0.65,0.375,0.6,2011-06-02,116,0.5
0.65,0.3,0.6,2012-06-02,116,0.5
0.65,0.444444444444444,0.6,2014-12-12,116,0.5
0.65,0.444444444444444,0.6,2017-12-12,116,0.5
0.65,0.25,0.6,2009-06-02,117,0.5
0.65,0.32,0.6,2010-06-02,117,0.5
